4B,Conditions & Symptoms,13 yr old complaining of sore knee. She’s not in pain all the time. It comes and goes. Worse after running/playing on the beach...but not sore at the time. Should we see GP first? Or see physio? Or go straight to specialist? Want most cost effective,GP: This is a common complaint by growing kids. Your GP or Ped sees it often & can often treat it if needed. If they feel any treatment other than observation would be worthwhile they can arrange it.,"In general, it is best to see a primary care provider first. They can help to determine if the issue is something that can be treated with at-home care or if it requires further evaluation. If the issue is determined to require further evaluation, the primary care provider can refer you to a specialist.",3,3,3,2,11,High Accuracy AI
8B,Conditions & Symptoms,I have been taking .5 mg of lorazepam for 2 years. Would stopping such a small amount cause withdrawal symptoms? ,"Ativan (lorazepam): Although the dose is low, the duration of being on it is long, hence withdrawal is possible. Consult your prescribing doctor for safe gradual taper plan.","It is possible that stopping lorazepam after taking it for a long time could cause withdrawal symptoms. These might include anxiety, insomnia, and nausea. If you are concerned about potential withdrawal symptoms, speak to your doctor before stopping lorazepam.",3,2,2,3,10,High Accuracy AI
10B,Conditions & Symptoms,What are the symptoms of sjögren’s syndrome?,"Dry eyes, mouth +: You may wish to consult: www.Sjogrens.Org/ for additional information.","The symptoms of Sjögren’s syndrome vary from person to person, but can include:  • Dry eyes  • Dry mouth  • Fatigue  • Joint pain  • Muscle pain  • Skin rashes  • Vasculitis (inflammation of the blood vessels)",3,3,3,3,12,High Accuracy AI
12B,Conditions & Symptoms,Does upper respiratory tract infection usually cause many symptoms?,"URTI: Upper respiratory infection (urti) usually refer to symptoms of runny or congested nose +/- fever, malaise and aches and pain usually due to a virus such the influenza virus. However, urti may become complicated by sinus infection or middle ear infection, which will produce their own symptoms. Younger children often get middle ear infection in association with urti.","No, upper respiratory tract infections usually only cause a few symptoms. The most common symptoms are a runny nose, congestion, and a sore throat.",3,3,3,3,12,High Accuracy AI
21B,Conditions & Symptoms,What diseases affect trigeminal nerve?,"Numb face: May relate to Trigeminal nerve involvement, such as Neuropathy from excess alcohol, Diabetes, vitamin deficiency, electrolyte imbalance, MS, Trauma, Migraines, Shingles, Focal seizures, Hypothyroidism, Psychogenic, or Iatrogenic (unknown causes).","The trigeminal nerve can be affected by a number of diseases, including:  - Trigeminal neuralgia - Trigeminal neuropathy - Trigeminal neuritis - Trigeminal neuralgia - Atypical trigeminal neuralgia - Glossopharyngeal neuralgia",2,3,3,3,11,High Accuracy AI
6B,Conditions & Symptoms,Is join pain a symptom of pms? ,"It can be: Alyssa, the usual PMS symptoms are bloating or cramping, nausea, and increased emotionality, but water retention can also be a symptom, which could cause joint pain. Hope this helps!","There is no definitive answer to this question since each person experiences PMS differently. While some people may experience joint pain as a symptom of PMS, others may not.",3,2,1,3,9,Low Accuracy AI
9B,Conditions & Symptoms,"Withdrawel symptoms of alcoholism, itching? ","Possibe: Alcohol is a brain sedative. Withdrawal can vary from seizures, delirium to mild agitation. Predicting the severity of withdrawal is difficult as tolerance varies greatly.",Withdrawal symptoms of alcoholism can include itching.,1,2,3,2,8,Low Accuracy AI
19B,Conditions & Symptoms,What would cause symptoms of lightheadedness night sweats breathlessness neck pain and stiffness that has lasted for months? I've had heart checked out?,"Need to examine: It is not feasible to provide a meaningful opinion without taking additional history, physical examination and may be some tests. It would be prudent to see your doctor and discuss if you may be depressed. Counter-intuitive as it may seem, exercise may help. Start with low intensity exercise such as walking and gradually increase the intensity as tolerated. Drink more water. Wish you good health!","The most likely cause of these symptoms is a viral infection, such as the flu. Other possible causes include dehydration, anxiety, and low blood sugar. If the symptoms persist, it is important to see a doctor to rule out other potential causes, such as heart disease.",2,1,2,1,6,Low Accuracy AI
22B,Conditions & Symptoms,I have a law blood pressure of 90/60. Is there any danger that a damage might be caused to the peripheral heart nerves and should i take a medication?,"If you are healthy: with a normal blood pressure of 90/60 & no symptoms- then I would not worry. However, if you are ill and this is a marked drop in your normal blood pressure - would discuss that further with your physician.",There is no danger to your heart or peripheral nerves with a blood pressure of 90/60.,1,2,2,1,6,Low Accuracy AI
25B,Conditions & Symptoms,Rheumatoid arthritis - auto-immune disease - does it boost or suppress immune system?,"Mild suppression: In rheumatoid arthritis, the immune system acts against one's tissues. So, part of the immune system is too active, but in a detrimental way. On the other hand, patients with RA may be more likely to develop infections. Even more so, if they receive medications that suppress the overactive immune system.","Rheumatoid arthritis is an auto-immune disease, which means that it causes the body's immune system to attack healthy tissue. There is no cure for rheumatoid arthritis, but treatments can help to reduce symptoms and prevent further damage to the joints.",3,1,2,3,9,Low Accuracy AI
2B,Conditions & Symptoms,Is vision impairment a common symptom with methylprednisolone? ,Rare: This is a good anti-inflammatory and in fact is used to treat some causes of visual dysfunction. Rarely there can be emboli from the injection vessel which could lodge in the eye vessels and damage the vision. But this is very rare.,"There is no definitive answer to this question as everyone's experience with methylprednisolone (or any medication) is different. However, it is important to be aware of all potential side effects of a medication, and vision impairment is a possible side effect of methylprednisolone. If you experience any changes in vision while taking methylprednisolone, be sure to contact your doctor.",3,2,3,3,11,Doctor
11B,Conditions & Symptoms,"What are the symptoms for aspergers syndrome in an adult, say 25-30 years old?","Social Skills: A problem in everyday reciprocal social interactions that harmfully impacts functioning @ work & home. Poor conversational skills; monitone speech. Trouble understanding that (not why) other people may not think what you think, feel how you feel, or want to do what you want, because of lack of theory of mind. Not knowing what to do to make others think better of you. May have anxiety/depression.","There is no definitive answer to this question as the symptoms of Asperger's Syndrome can vary greatly from person to person. However, some common symptoms that may be seen in adults with Asperger's include difficulty in social situations, problems with communication, obsessive interests, and a need for routine. Additionally, many adults with Asperger's also suffer from anxiety and depression.",3,2,3,3,11,Doctor
15B,Conditions & Symptoms,"3 years ago i had breast cancer.Had chemotherapy was put on tamoxifen then letrozole, now have complex cyst on uterus.How likely is this to be cancer?",Unlikely: Unlikely related to tamoxifen but it still needs to be evaluated. Hope this helps.,"I'm not a medical professional, so I can't give you a definite answer. However, I would recommend that you speak with your doctor about your concerns.",2,2,1,3,8,Doctor
18B,Conditions & Symptoms,Which heart diseases leads to valvular heart disease?,"Coronary disease/CAD: CAD can lead to weakened or poorly functioning heart muscle. The mitral valve is anchored to that muscle and will leak if CAD is severe enough. Rheumatic heart disease can lead to valve stenosis due to calcification, but has become less likely in the era of antibiotics. Also, being born with a bicuspid aortic valve (normally 3 cusps) can lead to calcification and narrowing at 50-60 years of age.","There are many heart diseases that can lead to valvular heart disease, including coronary artery disease, heart failure, and cardiomyopathies.",3,2,1,2,8,Doctor
23B,Conditions & Symptoms,What causes skin tags,"Skin tags: Bening lession. Friction of skin against skin is believed to be the cause. Is more common in obese people , usually on the underarm/axilla-trunk area , and neck area.","There are a number of things that can cause skin tags, including obesity, diabetes, and pregnancy.",2,2,3,1,8,Doctor
5C,Diagnostic & Tests,"Are uterine cancer, endometrial / ovarian cancer, and uterine fibroids/other abnormalities detected through pap smear other than cervical cancer?",No.: Pap smears sample cervical cells only.,"Other abnormalities can be detected through a pap smear, but cancer of the uterus, endometrium, or ovaries cannot.",3,3,3,3,12,High Accuracy AI
8C,Diagnostic & Tests,Is a 60 y/o Diagnosed with Atherosclerotic heart disease of native coronary artery w/ angina pectoris w/ documented spasm allowed to have angiogram?,He needs Angio: Angiogram is actually recommended if someone has a know history of atherosclerotic heart disease and has ongoing symptoms. I hope he is seeing a cardiologist.,"Yes, this patient is allowed to have an angiogram.",3,3,3,3,12,High Accuracy AI
11C,Diagnostic & Tests,What is the most accurate type of HIV test?,"Serology: A standard serology (elisa, with western blot confirmation of positive results).",The most accurate type of HIV test is the nucleic acid amplification test (NAAT).,2,2,3,3,10,High Accuracy AI
23C,Diagnostic & Tests,Can scarring or cirrosis of liver be diagnosed by ultrasound and mri?I m scared of CT because of radiation.,"Liver damage: The MRI is commonly used for soft tissue, so it can be used. Ultrasound can detect gross abnormalities also.","Yes, liver cirrhosis can be diagnosed by ultrasound and MRI.",2,3,3,3,11,High Accuracy AI
24C,Diagnostic & Tests,Would gynaecologic ultrasound be able to detect everything? Would it detect cancer?,"Definitely NOT.: A sonogram is more of a 'screening' tool, it will show changes that may be suggestive of a cancer, but in order to detect cancer some form of tissue sampling is required, (endometrial biopsy, or surgical removal of an organ for the pathologists to evaluate- before a cancer can be definitely diagnosed).","Gynaecologic ultrasound can detect many things, including cancer. However, it cannot detect all cancers, so it is important to talk to your doctor about your risk factors for cancer and to get regular cancer screenings.",2,3,3,2,10,High Accuracy AI
9C,Diagnostic & Tests,"I have had bone pain for 9 months. I have been tested for cancer, brain diseases, nerve conditions and any rheumatologic possibilities. Suggestions?","Skeletal x-ray , MRI: Many possibilities of bony pain- from muskuloskeletal, neurological etc. If I am not mistaken, you are recently diagnosed of having mgus 19 months ago, correct? I recommend you to get a skeletal bone survey to be done. If that is normal- you should consider pet scan ( superior than skeletal bone survey) or MRI of spines to detect bony lesion that may be associated with your plasma cell disorder.","The most likely explanation is that the pain is due to inflammation of the joints (arthritis). The two most common types of arthritis are osteoarthritis and rheumatoid arthritis. Osteoarthritis is due to wear and tear of the joints and is more common in older patients. Rheumatoid arthritis is an autoimmune disease where the body's immune system attacks the joints. Both of these types of arthritis can be treated with anti-inflammatory medications, physical therapy, and weight loss if necessary. If the pain is severe, you may also need to take pain medications. If you have not already done so, you should see a rheumatologist (a doctor who specializes in arthritis) for further evaluation and treatment.",3,2,3,1,9,Low Accuracy AI
13C,Diagnostic & Tests,False positive stress test reason?,Body habitus: Most common cause of false positive stress test is body habitus. This commonly affects women because the heart rhythm needs to be picked up through their breast tissue.,"A false positive stress test occurs when the test results show that the person has high blood pressure, but in reality, their blood pressure is normal. This can happen for a variety of reasons, including incorrect test technique, incorrect test equipment, or simply anxiety on the part of the person being tested.",1,1,3,1,6,Low Accuracy AI
6C,Diagnostic & Tests,"I have read that if you have 3 normal paps smears in a row, you can go every 5 years for a paps.. is this true? If so, would that catch cancer or would too much time have passed? Don’t uterine and cervical cancer spread quickly?","If you are low risk, not immunocompromised, and you your last 3 paps have been normal, then it is ok to defer pap testing to every 5 years as long as you are also testing for HPV with the pap smear. Pap smears detect cervical cancer (predominantly caused by HPV), and it is very slow growing. Uterine cancer is a separate problem, not detected by pap smears. Report any abnormal bleeding to your GYN","The pap smear is a screening test for cervical cancer, but not for uterine cancer. The American Cancer Society recommends yearly pap smears for all women who are or have been sexually active, and who have a cervix. Once a woman has had 3 normal pap smears in a row, she may have the test every 2-3 years. However, if at any time she has an abnormal pap smear, she should have another pap smear within one year.",3,3,2,1,9,Low Accuracy AI
17C,Diagnostic & Tests,"Is the accuracy of test at 7 weeks using the 4th Ag/Ab? 2 week test rapid test = negativ,3 week test rapid test = negative, 4 week test 4th AG/AB = Non reactive, 7 week test 4th Ag/AB =Non reactive.i have Diarrhea and Weight Loss. Does the accuracy?","100% accurate: There are no illnesses, medical conditions, or medications that affect the results or reliability of the AgAb HIV tests, and results more than 45 days after exposure are 100% conclusive. Your negative result at 7 weeks proves your symptoms are not due to HIV. See a doctor to work out the cause and treatment. Good luck.","There is no definitive answer, as the accuracy of test results can depend on a number of factors, such as the specific test used, the person's individual circumstances, and the laboratory conditions under which the testing is performed. However, in general, the accuracy of test results tends to improve with longer testing periods. Therefore, the accuracy of the 4th Ag/Ab test at 7 weeks is likely to be higher than the accuracy of the 2-week or 3-week test.",1,3,2,1,7,Low Accuracy AI
18C,Diagnostic & Tests,Neg 4 hiv 1 yr after exposure but my wbc keep going down my wbc is now 6.1 from 7.2 range 3.5- 10.0 my cd4/cd8 ratio 1.85 range 0.9-3.72 have symptoms number of neg hiv test over 1 yr exposure. Can hiv take longer than 1 yr to be detected. More test?,"There can be a window period up to three months between getting infected with HIV and testing positive. I have not heard of a case that did not show up for a year. 6.1 WBC count is within normal range. There will be some fluctuation with all tests which is normal. I don't think it is likely you have HIV (however, it is possible a test could be wrong). If you're still worried then test again.",There is no way to determine whether or not you have contracted HIV without further testing. I suggest you consult with a physician or other health care provider to discuss your risks and options for further testing.,1,3,2,2,8,Low Accuracy AI
1C,Diagnostic & Tests,Had a traumatic brain injury 4 yrs ago. been trying to cure my constant headache. I think I may have occipital neuralgia. How would I diagnose this? Thanks,"PCP...Neurologist: 17 y/o female says, Had a traumatic brain injury 4 yrs ago. Been trying to cure my constant headache. I think I may have occipital neuralgia. How would I diagnose this? Thanks. Injury seemed to have happened when you were technically pediatric/ Adolescence age group. Should first see the PCP or Pediatric Neurologist for evaluation before anything else. The sooner the better. Wish you well soon.","There is no one definitive test for diagnosing occipital neuralgia. A diagnosis is typically made based on a combination of a thorough medical history, a physical examination, and additional tests such as imaging studies (e.g., MRI, CT scan) and/or nerve conduction studies/electromyography.",3,2,3,2,10,Doctor
3C,Diagnostic & Tests,What is the differential diagnosis for fibromyalgia?,"Too much to mention.: Fibromyalgia is a complex condition with associated allodynia or severe pain on pressure points which are widespread in the body, the differential diagnosis include depression, other types of myofascial pain stress related muscle spasms . Rather tan differential diagnosis, fibromyalgia is associated with a lot of somatic conditions like tmj. It usually is associated with sleep disturbances.",The differential diagnosis for fibromyalgia includes:  -Arthritis -Osteoporosis -Depression -Chronic fatigue syndrome -Sleep disorders -Irritable bowel syndrome,3,2,3,2,10,Doctor
14C,Diagnostic & Tests,My pet scan was highly suspicious for malignancy in rt lung.Now onto Bronchoscope so didn't pet confirm cancer?This cancer isn't curable!,PET scan helps but n: A PET scan can show an abnormality where body cells are overactive. This happens commonly with Cancer and with any Infection or inflammation. So a biopsy is required to make the distinction between Inflammation and Cancer. A bronchoscopy may show the tumor or it may be used to get a biopsy by getting near to the tumor,"The bronchoscope will be able to see deep into your lungs and will provide a much better idea of whether or not there is cancer in your lungs, and if so, how far it has progressed.",3,1,3,2,9,Doctor
16C,Diagnostic & Tests,Can biopsy diagnose cancer?,"Usually a bone: Biopsy is done on a a bone with a symptom (pain) and an x-ray abnormalitity (dissolved bone. Lytic; sclerotic, bone, blastic) indicating metastasis or fracture. The biopsy can obtain tissue if the source is occult. A bone marrow biopsy is done to assess anemia, look for leukemia, and sometimes another marrow disorder.",A biopsy is a sample of tissue taken from the body in order to examine it more closely. A biopsy can be used to diagnose cancer.,3,3,3,3,12,Doctor
21C,Diagnostic & Tests,What can a mra detect that a brain MRI cannot detect?,"Vascular disease: Mra looks at moving blood in the arteries of the brain and can help in the diagnosis of vascular narrowing from atherosclerosis, or anerysms, and arteriovenous malformations (avm). Though an MRI may detect large aneurysms and if contrast is given suggest avm, mra is much more sensitive than MRI when investigating vascular anatomy. Mra does have its limits, small aneurysms can't be detected.",MRA can detect problems with the blood vessels in the brain that may not be detectable with a brain MRI.,3,3,3,3,12,Doctor
2D,Procedures & Surgeries,What are the typical results for lung volume reduction surgery for patients with emphysema?,"For certain patients: Lvrs is successful in regards to improved survival in a certain type of patient. It helps patients live longer who have their emphysema confined to the upper parts of their lungs on chest ct, and who have poor exercise capacity as determined by pulmonary physiology tests. To understand the role of lvrs in treating emphysema, talk to a board certified thoracic surgeon.","Most patients who have lung volume reduction surgery for emphysema experience significant improvements in their quality of life and ability to breathe. Some patients may also experience a decrease in their overall lung capacity, but this is usually mild and does not significantly impact their ability to breathe.",3,3,3,2,11,High Accuracy AI
9D,Procedures & Surgeries,"Cystoscopy for CPPS and bleeding revealed a rear bladder bulge. Options are to repeat procedure, cat scan, or MRI w/contrast. Which should I choose an?",CT or MRI: It's probably a fold in your bladder. CT with contrast or MRI with contrast would give you similar findings. If urologist didn't figure it out the first time it's unlikely they'll figure it out if they repeat the same procedure.,The best option would be to have an MRI with contrast. This will give the best view of the bladder and any potential abnormalities.,2,3,3,2,10,High Accuracy AI
20D,Procedures & Surgeries,Is lasik eye surgery a cosmetic procedure?,"LASIK surgery: Lasik surgery is an elective surgery that is typically not covered by insurance. Another term is to call lasik a self-pay surgery (rather than an insurance-covered procedure). I hope this helps best regards bill trattler, md.",Lasik eye surgery is a cosmetic procedure.,3,3,3,3,12,High Accuracy AI
22D,Procedures & Surgeries,"What non-surgical, non-invasive procedures exists to treat pudendal nerve entrapment?","Few: Pelvic Physical therapy, medications, acupuncture, chiropractic or osteopathic manipulation, topical compounded medications, anti-inflammatories, percuteanous tibial nerve stimulation, stretching, hyperbaric oxygen treatment, integrative medicine, homeopathy, massage. However if the above don't help there is also nerve blocks and or surgical release. Resource: http://www.advancedreconstruction.com/meet-the-doctors/dr-elkwood-md/","There are several non-surgical, non-invasive procedures that exist to treat pudendal nerve entrapment. These include physical therapy, massage therapy, and acupuncture.",3,3,3,2,11,High Accuracy AI
25D,Procedures & Surgeries,Hows stereotactic biopsy procedure done?,"Computerized locati: The suspicious density, seen in x-ray but can not be felt , this area is located in two or more planes, marked, computer guided needle enters, at the marked site and takes biopsy, radio opaque, marker is placed for future reference, that biopsy was taken from correct location , then simple small dressing will be applied.","A: The stereotactic biopsy procedure is generally done using local anesthesia. Once the patient is comfortable, the radiologist will make a small incision in the skin and insert a needle into the area of concern. The needle is then directed to the specific area using imaging guidance and a biopsy is taken. The entire procedure usually takes less than 30 minutes.",3,3,3,1,10,High Accuracy AI
5D,Procedures & Surgeries,What happens during arthroscopic knee surgery for plica?,Arthorscopic surgery: In arthroscopic surgery the surgeon looks 360 degrees around the entire knee. If the patient has a plica the surgeon would incise it with an instrument. That being said i would anticipate that the plica is a secondary diagnosis and not the prime reason for the surgery.,"The surgeon makes a small incision in the knee and inserts a tiny camera, called an arthroscope, into the joint. The camera displays pictures on a video monitor, and the surgeon uses these pictures to guide small surgical instruments. The surgeon can then remove the inflamed tissue.",3,3,3,3,12,Low Accuracy AI
11D,Procedures & Surgeries,Do patients undergoing dental procedures require endocarditis prophylaxis,"Some do...: Some people do. Patients with artificial heart valves, previous history of infective endocarditis, joint replacements in the last 5 years do require it (there are other conditions, these are the most common). Patients with mitral valve prolapse, heart murmurs, stents, and pacemakers do not need prophylaxis. If there is a specific condition you are asking about, let me know.",The American Heart Association (AHA) recommends prophylactic antibiotics for patients with underlying cardiac conditions who are undergoing dental procedures that involve manipulation of gingival tissue or periapical region of teeth or perforation of the oral mucosa.,3,1,3,2,9,Low Accuracy AI
13D,Procedures & Surgeries,Does my OBGYN need an assistant surgeon for regular (non robotic) laparoscopic myomectomy?,"Typically one: When doing laparoscopic surgery an assistant is sometimes needed to act as a ""third hand"" especially when using multiple ports for instruments in certain procedures. The assistant need not be another physician but may be a member of the surgery staff or in a teaching institution, a resident.",You should ask your surgeon what their policy is for having an assistant in the operating room during your laparoscopic myomectomy.,2,3,1,3,9,Low Accuracy AI
17D,Procedures & Surgeries,Is CABG (coronary artery bypass grafting) an open heart surgery or closed heart surgery?,"Not necessarily: A CABG if done without cardiopulmonary bypass (cpb) does not require the heart to be opened, however most cabgs are done with cpb requires cannula placement in the heart. However, most people consider any surgery on the heart where the chest is opened open heart surgery.",CABG is an open heart surgery.,3,1,3,2,9,Low Accuracy AI
21D,Procedures & Surgeries,Is laser surgery required after having a cataract eye operation?,"Maybe: Sometimes laser vision correction is offered after cataract surgery in order to decrease dependence on glasses, but it is not required. There is another type of laser that is sometimes needed to improve vision in about 10% of cataract patients called yag capsulotomy. Speak to your cataract surgeon to clarify.",Most people do not require laser surgery after having a cataract eye operation.,3,3,3,3,12,Low Accuracy AI
1D,Procedures & Surgeries,Will getting lung reduction surgery fix my subcutaneous emphysema?,"No: Subcutaneous emphysema is usually the result of a collapsed lung (pneumothorax). It is treated with placing a drainage tube between the ribs to ""suck"" the air out from around the collapsed lung and allow it to reexpand. Subcut. Emphysema can take days to resolve even after the lung expands. Lung volume reduction surgery is really an elective procedure rather than treatment for an acute process.","It is possible that lung reduction surgery may improve subcutaneous emphysema, but this is not guaranteed.",1,3,3,1,8,Doctor
